"NUM","NAME","TYPE","VALUE","DISPLAY_VALUE","DEFAULT_VALUE","ISDEFAULT","ISSES_MODIFIABLE","ISSYS_MODIFIABLE","ISPDB_MODIFIABLE","ISINSTANCE_MODIFIABLE","ISMODIFIED","ISADJUSTED","ISDEPRECATED","ISBASIC","DESCRIPTION","UPDATE_COMMENT","HASH","CON_ID"
52,"lock_name_space",2,,,,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","lock name space used for generating lock names for standby/clone database",,1022980314,1
53,"processes",3,"320","320","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","user processes",,4162014761,1
54,"sessions",3,"504","504",,"TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","user and system sessions",,3194028855,1
71,"timed_statistics",1,"TRUE","TRUE","FALSE","TRUE","TRUE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","maintain internal timing statistics",,2224114877,1
72,"timed_os_statistics",3,"0","0","0","TRUE","TRUE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","internal os statistic gathering interval in seconds",,2425331770,1
73,"resource_limit",1,"TRUE","TRUE","TRUE","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","master switch for resource limit",,19363908,1
74,"license_max_sessions",3,"0","0","0","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","maximum number of non-system user sessions allowed",,2409810571,1
75,"license_sessions_warning",3,"0","0","0","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","warning level for number of non-system user sessions",,4168462818,1
84,"long_module_action",1,"TRUE","TRUE","TRUE","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","Use longer module and action",,3000737841,1
106,"standby_db_preserve_states",2,"NONE","NONE","NONE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Preserve state cross standby role transition",,1862199831,1
110,"instance_abort_delay_time",3,"0","0","0","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","time to delay an internal initiated abort (in seconds)",,2964226596,1
125,"cpu_count",3,"4","4","0","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","maximum number of CPUs",,1095434542,1
126,"cpu_min_count",2,"4","4",,"TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","minimum number of CPUs required",,4228462918,1
136,"instance_groups",2,,,,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","list of instance group names",,714080904,1
145,"event",2,,,"NONE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","debug event control - default null string",,557769962,1
160,"sga_max_size",6,"1610612736","1536M","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","max total SGA size","internally adjusted",3640569645,1
167,"use_large_pages",2,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Use large pages if available (TRUE/FALSE/ONLY)",,3303635063,1
176,"pre_page_sga",1,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","pre-page sga for process",,4157293338,1
177,"shared_memory_address",3,"0","0","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","SGA starting address (low order 32-bits on 64-bit platforms)",,1147088340,1
178,"hi_shared_memory_address",3,"0","0","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","SGA starting address (high order 32-bits on 64-bit platforms)",,2467282562,1
180,"lock_sga",1,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Lock entire SGA in physical memory",,3105560606,1
234,"processor_group_name",2,,,,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Name of the processor group that this instance should run in.",,3670365524,1
264,"allow_group_access_to_sga",1,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Allow read access for SGA to users of Oracle owner group",,1282645390,1
274,"sga_min_size",6,"0","0","0","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","Minimum, guaranteed size of PDB's SGA",,1499658341,1
277,"shared_pool_size",6,"0","0","134217728","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","size in bytes of shared pool",,1378805370,1
279,"large_pool_size",6,"0","0","134217728","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","size in bytes of large pool",,4033299612,1
281,"java_pool_size",6,"0","0","25165824","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","size in bytes of java pool",,682389752,1
283,"streams_pool_size",6,"0","0","0","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","size in bytes of the streams pool",,4113905875,1
287,"shared_pool_reserved_size",6,"19293798","19293798","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","size in bytes of reserved area of shared pool",,3099794371,1
290,"java_soft_sessionspace_limit",3,"0","0","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","warning limit on size in bytes of a Java sessionspace",,2289238341,1
291,"java_max_sessionspace_size",3,"0","0","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","max allowed size in bytes of a Java sessionspace",,2976582011,1
293,"pga_aggregate_limit",6,"2147483648","2G","0","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","limit of aggregate PGA memory for the instance or PDB",,473987584,1
316,"spfile",2,"/opt/oracle/product/19c/dbhome_1/dbs/spfileORCLCDB.ora","/opt/oracle/product/19c/dbhome_1/dbs/spfileORCLCDB.ora","NONE","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","server parameter file",,3653611964,1
317,"instance_type",2,"RDBMS","RDBMS","RDBMS","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","type of instance to be executed",,3061809694,1
331,"uniform_log_timestamp_format",1,"TRUE","TRUE","TRUE","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","use uniform timestamp formats vs pre-12.2 formats",,4010398416,1
368,"nls_language",2,"AMERICAN","AMERICAN","AMERICAN","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","NLS language name",,3485237129,1
369,"nls_territory",2,"AMERICA","AMERICA","AMERICA","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","NLS territory name",,4101776966,1
370,"nls_sort",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NLS linguistic definition name",,1540560305,1
371,"nls_date_language",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NLS date language name",,1568340031,1
372,"nls_date_format",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NLS Oracle date format",,677968994,1
373,"nls_currency",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NLS local currency symbol",,1866631167,1
374,"nls_numeric_characters",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NLS numeric characters",,1350504691,1
375,"nls_iso_currency",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NLS ISO currency territory name",,1902084911,1
376,"nls_calendar",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NLS calendar system name",,600406646,1
377,"nls_time_format",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","time format",,279591871,1
378,"nls_timestamp_format",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","time stamp format",,1867855122,1
379,"nls_time_tz_format",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","time with timezone format",,3395216182,1
380,"nls_timestamp_tz_format",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","timestamp with timezone format",,197674624,1
381,"nls_dual_currency",2,,,"NONE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","Dual currency symbol",,3671532261,1
382,"nls_comp",2,"BINARY","BINARY","BINARY","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NLS comparison",,2564149862,1
383,"nls_length_semantics",2,"BYTE","BYTE","BYTE","TRUE","TRUE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","create columns using byte or char semantics by default",,726541850,1
384,"nls_nchar_conv_excp",2,"FALSE","FALSE","FALSE","TRUE","TRUE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","NLS raise an exception instead of allowing implicit conversion",,928612038,1
389,"disk_asynch_io",1,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Use asynch I/O for random access devices",,629465343,1
390,"tape_asynch_io",1,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Use asynch I/O requests for tape devices",,4219463829,1
392,"dbwr_io_slaves",3,"0","0",,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DBWR I/O slaves",,3394903742,1
396,"backup_tape_io_slaves",1,"FALSE","FALSE","FALSE","TRUE","FALSE","DEFERRED","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","BACKUP Tape I/O slaves",,3484415485,1
404,"fileio_network_adapters",2,,,,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Network Adapters for File I/O",,3529525450,1
406,"filesystemio_options",2,"none","none","asynch","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","IO operations on filesystem files",,752770605,1
407,"dnfs_batch_size",3,"4096","4096","4096","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Max number of dNFS asynch I/O requests queued per session",,1994133209,1
422,"clonedb",1,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","clone database",,928499171,1
423,"instant_restore",1,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","instant repopulation of datafiles",,4142333245,1
433,"http_proxy",2,,,,"TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","http_proxy",,3663661791,1
434,"ssl_wallet",2,,,,"TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","ssl_wallet",,2995267759,1
439,"ofs_threads",3,"4","4","4","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Number of OFS threads",,1131849260,1
452,"resource_manager_cpu_allocation",3,"4","4","0","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Resource Manager CPU allocation",,2295969896,1
454,"resource_manager_plan",2,,,,"TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","resource mgr top plan",,771115908,1
472,"db_performance_profile",2,,,,"TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","Database performance category",,3630520311,1
476,"max_iops",3,"0","0","0","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","MAX IO per second",,533109382,1
477,"max_mbps",3,"0","0","0","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","MAX MB per second",,3697729492,1
480,"max_idle_time",3,"0","0","0","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","maximum session idle time in minutes",,1802489217,1
481,"max_idle_blocker_time",3,"0","0","0","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","maximum idle time for a blocking session in minutes",,290450916,1
763,"cluster_interconnects",2,,,"NONE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","interconnects for RAC use",,453198651,1
836,"file_mapping",1,"FALSE","FALSE","FALSE","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","enable file mapping",,232153461,1
844,"max_datapump_jobs_per_pdb",2,"100","100","100","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","maximum number of concurrent Data Pump Jobs per PDB",,2176709606,1
845,"max_datapump_parallel_per_job",2,"50","50","50","TRUE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","maximum number of parallel processes per Data Pump Job",,1889722817,1
847,"service_names",2,"ORCLCDB","ORCLCDB",,"TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","service names supported by the instance",,715667293,1
866,"threaded_execution",1,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Threaded Execution Mode",,606669933,1
952,"clonedb_dir",2,,,,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","CloneDB Directory",,924431809,1
963,"enable_dnfs_dispatcher",1,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Enable DNFS Dispatcher",,1212402461,1
1074,"gcs_server_processes",3,"0","0","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","number of background gcs server processes to start",,3586934196,1
1091,"active_instance_count",3,,,,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","number of active instances in the cluster database",,1385697455,1
1238,"instance_mode",2,"READ-WRITE","READ-WRITE","read-write","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","indicates whether the instance read-only or read-write or read-mostly",,2136961442,1
1558,"sga_target",6,"1610612736","1536M","0","FALSE","FALSE","IMMEDIATE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","Target size of SGA",,3134551790,1
1560,"memory_target",6,"0","0","0","TRUE","FALSE","IMMEDIATE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Target size of Oracle SGA and PGA memory",,1127054141,1
1561,"memory_max_target",6,"0","0","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Max size for Memory Target",,3306918234,1
1595,"control_files",2,"/opt/oracle/oradata/ORCLCDB/control01.ctl","/opt/oracle/oradata/ORCLCDB/control01.ctl","?=/dbs/cntrl@.dbf","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","control file names list",,2567365799,1
1604,"db_file_name_convert",2,,,,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","datafile name convert patterns and strings for standby/clone db",,2967069573,1
